day,susceptible,infected,recovered,chilam,chilamPerDay
0,9037275,5,0,0,0
1,9037274,5,0,0,0
2,9037273,5,0,0,0
3,9037272,5,1,0,0
4,9037272,6,1,0,0
5,9037271,6,2,0,0
6,9037270,7,2,0,0
7,9037269,7,2,0,0
8,9037268,7,3,0,0
9,9037267,8,4,0,0
10,9037266,8,4,0,0
11,9037265,9,5,0,0
12,9037264,9,5,0,0
13,9037262,10,6,0,0
14,9037261,11,7,0,0
15,9037260,11,8,0,0
16,9037258,12,9,0,0
17,9037256,13,9,0,0
18,9037255,13,10,0,0
19,9037253,14,11,0,0
20,9037251,15,12,0,0
21,9037249,16,14,0,0
22,9037247,17,15,0,0
23,9037245,18,16,0,0
24,9037242,19,17,0,0
25,9037240,20,19,0,0
26,9037237,21,20,0,0
27,9037234,23,22,0,0
28,9037231,24,23,0,0
29,9037228,26,25,0,0
30,9037224,27,27,0,0
31,9037221,29,29,0,0
32,9037217,30,31,0,0
33,9037213,32,33,0,0
34,9037209,34,36,0,0
35,9037204,36,38,0,0
36,9037199,38,41,0,0
37,9037194,41,43,0,0
38,9037189,43,46,0,0
39,9037183,46,50,0,0
40,9037177,48,53,0,0
41,9037171,51,56,0,0
42,9037164,54,60,0,0
43,9037157,57,64,0,0
44,9037150,61,68,0,0
45,9037142,64,72,0,0
46,9037133,68,77,0,0
47,9037125,72,82,0,0
48,9037115,76,87,0,0
49,9037105,81,93,0,0
50,9037095,86,98,0,0
51,9037083,91,105,0,0
52,9037071,96,111,0,0
53,9037059,102,118,0,0
54,9037046,108,125,0,0
55,9037032,114,133,0,0
56,9037017,121,141,0,0
57,9037001,128,150,0,0
58,9036984,135,159,0,0
59,9036967,143,169,0,0
60,9036948,152,179,0,0
61,9036928,161,190,0,0
62,9036907,170,201,1,0
63,9036885,180,213,1,0
64,9036862,190,226,1,0
65,9036837,202,240,1,0
66,9036811,214,254,1,0
67,9036783,226,270,1,0
68,9036753,239,286,1,0
69,9036722,253,303,1,0
70,9036689,268,321,1,0
71,9036654,284,340,1,0
72,9036617,301,361,1,0
73,9036578,318,382,1,0
74,9036537,337,405,2,0
75,9036493,357,429,2,0
76,9036446,378,455,2,0
77,9036397,400,482,2,0
78,9036345,423,510,2,0
79,9036290,448,540,2,0
80,9036232,474,572,2,0
81,9036170,502,606,3,0
82,9036105,531,642,3,0
83,9036036,563,680,3,0
84,9035962,596,720,3,0
85,9035885,631,763,3,0
86,9035803,667,808,4,0
87,9035716,707,856,4,0
88,9035624,748,906,4,0
89,9035527,792,960,4,0
90,9035424,838,1016,5,0
91,9035315,887,1076,5,0
92,9035200,939,1140,5,0
93,9035077,994,1207,6,0
94,9034948,1052,1278,6,0
95,9034811,1114,1353,6,0
96,9034666,1179,1433,7,0
97,9034513,1248,1517,7,0
98,9034351,1322,1606,8,0
99,9034179,1399,1701,8,0
100,9033997,1481,1801,9,0
101,9033805,1567,1906,9,0
102,9033601,1659,2018,10,0
103,9033385,1756,2137,10,0
104,9033157,1859,2262,11,0
