day,susceptible,infected,recovered,chilam,chilamPerDay
0,9037275,5,0,0,0
1,9037273,6,0,0,0
2,9037270,8,0,0,0
3,9037266,11,1,0,0
4,9037262,15,2,0,0
5,9037255,20,3,0,0
6,9037247,27,4,0,0
7,9037236,36,6,0,0
8,9037222,48,9,0,0
9,9037202,64,12,0,0
10,9037176,85,17,0,0
11,9037142,113,23,0,0
12,9037097,151,31,0,0
13,9037036,200,42,0,0
14,9036956,266,56,0,0
15,9036849,354,75,0,0
16,9036707,471,101,0,0
17,9036519,625,134,0,0
18,9036268,831,179,0,0
19,9035936,1104,239,1,0
20,9035494,1467,317,1,0
21,9034907,1949,422,2,0
22,9034127,2589,562,2,0
23,9033092,3440,747,3,0
24,9031716,4570,992,4,1
25,9029889,6071,1319,6,1
26,9027463,8063,1752,8,2
27,9024241,10709,2328,11,2
28,9019963,14222,3093,15,3
29,9014285,18884,4109,20,5
30,9006750,25070,5458,27,6
31,8996755,33274,7249,36,8
32,8983505,44147,9626,48,11
33,8965951,58548,12779,63,15
34,8942717,77601,16961,84,20
35,8912001,102773,22504,112,27
36,8871461,135972,29845,149,36
37,8818070,179651,39558,197,48
38,8747953,236936,52390,261,64
39,8656213,311752,69314,346,84
40,8536770,408927,91582,457,111
41,8382258,534229,120792,603,146
42,8184054,694273,158951,794,190
43,7932564,896173,208542,1042,247
44,7617913,1146810,272555,1362,320
45,7231235,1451573,354471,1772,409
46,6766640,1812483,458155,2290,518
47,6223803,2225857,587619,2938,647
48,5610640,2680028,746610,3733,794
49,4945100,3154137,938041,4690,957
50,4254736,3619204,1163338,5816,1126
51,3573169,4042255,1421855,7109,1292
52,2933876,4392813,1710589,8552,1443
53,2363440,4649475,2024363,10121,1568
54,1877065,4803743,2356470,11782,1660
55,1477965,4859716,2699597,13497,1715
56,1160060,4830497,3046722,15233,1735
57,912035,4733484,3391759,16958,1725
58,720955,4586456,3729867,18649,1690
59,574600,4405205,4057473,20287,1638
60,462565,4202581,4372133,21860,1573
61,376522,3988437,4672319,23361,1500
62,310054,3770016,4957209,24786,1424
63,258317,3552464,5226498,26132,1346
64,217700,3339332,5480247,27401,1268
65,185523,3132984,5718772,28593,1192
66,159797,2934924,5942558,29712,1118
67,139039,2746044,6152196,30760,1048
68,122139,2566796,6348344,31741,980
69,108263,2397328,6531687,32658,916
70,96775,2237577,6702926,33514,856
71,87191,2087334,6862754,34313,799
72,79136,1946293,7011850,35059,745
73,72318,1814088,7150872,35754,695
74,66512,1690316,7280451,36402,647
75,61535,1574555,7401188,37005,603
76,57247,1466374,7513657,37568,562
77,53531,1365348,7618399,38091,523
78,50296,1271058,7715924,38579,487
79,47467,1183097,7806715,39033,453
80,44981,1101075,7891222,39456,422
