day,susceptible,infected,recovered,chilam,chilamPerDay
0,1843353,5,0,0,0
1,1843352,5,0,0,0
2,1843351,5,0,0,0
3,1843351,5,1,0,0
4,1843350,5,1,0,0
5,1843350,5,1,0,0
6,1843349,6,2,0,0
7,1843348,6,2,0,0
8,1843348,6,3,0,0
9,1843347,6,3,0,0
10,1843346,6,4,0,0
11,1843346,7,4,0,0
12,1843345,7,5,0,0
13,1843344,7,5,0,0
14,1843343,7,6,0,0
15,1843342,8,6,0,0
16,1843342,8,7,0,0
17,1843341,8,8,0,0
18,1843340,9,8,0,0
19,1843339,9,9,0,0
20,1843338,9,9,0,0
21,1843337,10,10,0,0
22,1843336,10,11,0,0
23,1843335,10,12,0,0
24,1843334,11,12,0,0
25,1843332,11,13,0,0
26,1843331,11,14,0,0
27,1843330,12,15,0,0
28,1843329,12,16,0,0
29,1843327,13,17,0,0
30,1843326,13,18,0,0
31,1843325,13,18,0,0
32,1843323,14,19,0,0
33,1843322,14,20,0,0
34,1843320,15,22,0,0
35,1843318,15,23,0,0
36,1843317,16,24,0,0
37,1843315,16,25,0,0
38,1843313,17,26,0,0
39,1843311,18,27,0,0
40,1843310,18,29,0,0
41,1843308,19,30,0,0
42,1843306,20,31,0,0
43,1843303,20,33,0,0
44,1843301,21,34,0,0
45,1843299,22,36,0,0
46,1843297,22,37,0,0
47,1843294,23,39,0,0
48,1843292,24,41,0,0
49,1843289,25,43,0,0
50,1843287,26,44,0,0
51,1843284,26,46,0,0
52,1843281,27,48,0,0
53,1843278,28,50,0,0
54,1843275,29,52,0,0
55,1843272,30,54,0,0
56,1843269,31,56,0,0
57,1843265,32,59,0,0
58,1843262,33,61,0,0
59,1843258,35,63,0,0
60,1843255,36,66,0,0
61,1843251,37,69,0,0
62,1843247,38,71,0,0
63,1843243,40,74,0,0
64,1843239,41,77,0,0
65,1843234,42,80,0,0
66,1843230,44,83,0,0
67,1843225,45,86,0,0
68,1843220,47,89,0,0
69,1843216,48,93,0,0
70,1843210,50,96,0,0
71,1843205,52,100,0,0
72,1843200,53,104,0,0
73,1843194,55,107,0,0
74,1843188,57,111,0,0
75,1843182,59,115,0,0
76,1843176,61,120,0,0
77,1843169,63,124,0,0
78,1843163,65,129,0,0
79,1843156,67,133,0,0
