day,susceptible,infected,recovered,chilam,chilamPerDay
0,1534701,5,0,0,0
1,1534699,6,0,0,0
2,1534696,8,0,0,0
3,1534692,11,1,0,0
4,1534688,15,2,0,0
5,1534681,20,3,0,0
6,1534673,27,4,0,0
7,1534662,36,6,0,0
8,1534648,48,9,0,0
9,1534628,64,12,0,0
10,1534602,85,17,0,0
11,1534568,113,23,0,0
12,1534523,151,31,0,0
13,1534462,200,42,0,0
14,1534382,266,56,0,0
15,1534275,354,75,0,0
16,1534133,470,101,0,0
17,1533945,625,134,0,0
18,1533695,831,179,0,0
19,1533363,1103,239,1,0
20,1532921,1466,317,1,0
21,1532336,1947,422,2,0
22,1531558,2586,561,2,0
23,1530526,3433,746,3,0
24,1529156,4558,991,4,1
25,1527339,6049,1317,6,1
26,1524931,8024,1749,8,2
27,1521742,10641,2322,11,2
28,1517521,14101,3082,15,3
29,1511943,18672,4089,20,5
30,1504585,24696,5423,27,6
31,1494901,32617,7187,35,8
32,1482192,42995,9517,47,11
33,1465582,56534,12588,62,15
34,1443987,74091,16626,83,20
35,1416102,96684,21919,109,26
36,1380417,125463,28825,144,34
37,1335277,161641,37786,188,44
38,1279021,206351,49332,246,57
39,1210232,260400,64072,320,73
40,1128094,323939,82672,413,93
41,1032848,396046,105811,529,115
42,926233,474372,134100,670,141
43,811714,555006,167984,839,169
44,694295,632782,207627,1038,198
45,579788,702090,252826,1264,225
46,473692,758037,302976,1514,250
47,380103,797479,357122,1785,270
48,301098,819522,414085,2070,284
49,236784,825298,472623,2363,292
50,185851,817281,531573,2657,294
51,146262,798492,589951,2949,291
52,115822,771896,646986,3234,285
53,92520,740062,702122,3510,275
54,74674,705046,754984,3774,264
55,60952,668408,805345,4026,251
56,50333,631283,853088,4265,238
57,42052,594473,898180,4490,225
58,35536,558526,940643,4703,212
59,30363,523804,980538,4902,199
60,26218,490534,1017953,5089,187
61,22866,458848,1052991,5264,175
62,20131,428807,1085766,5428,163
63,17881,400428,1116396,5581,153
64,16015,373692,1144998,5724,143
65,14455,348559,1171690,5858,133
66,13142,324975,1196588,5982,124
67,12028,302876,1219800,6099,116
68,11079,282191,1241434,6207,108
69,10264,262849,1261591,6307,100
70,9561,244778,1280366,6401,93
71,8951,227903,1297850,6489,87
72,8419,212156,1314129,6570,81
