day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,13500000,5,0,0,0,2.5,2.6467971673892017e-06
1,13500515,6,0,0,0,3.0,3.176156600867042e-06
2,13501030,8,0,0,0,4.0,4.234875467822723e-06
3,13501545,11,1,0,0,5.5,5.8229537682562435e-06
4,13502058,15,2,0,0,7.5,7.940391502167604e-06
5,13502570,20,3,0,0,10.0,1.0587188669556807e-05
6,13503079,27,4,0,0,13.5,1.4292704703901688e-05
7,13503586,36,6,0,0,18.0,1.9056939605202253e-05
8,13504090,48,9,0,0,24.0,2.5409252806936335e-05
9,13504588,64,12,0,0,32.0,3.3879003742581784e-05
10,13505080,85,17,0,0,42.5,4.499555184561643e-05
11,13505564,113,23,0,0,56.5,5.981761598299596e-05
12,13506036,151,31,0,0,75.5,7.99332744551539e-05
13,13506494,201,42,0,0,100.5,0.00010640124612904591
14,13506931,267,56,0,0,133.5,0.00014133896873858338
15,13507343,355,76,0,0,177.5,0.00018792259888463333
16,13507719,471,101,0,0,235.5,0.0002493282931680628
17,13508048,626,135,0,0,313.0,0.00033137900535712807
18,13508315,832,179,0,0,416.0,0.0004404270486535632
19,13508500,1106,239,1,0,553.0,0.0005854715334264915
20,13508575,1470,318,1,0,735.0,0.0007781583672124252
21,13508504,1954,423,2,0,977.0,0.0010343683330157
22,13508240,2597,563,2,0,1298.5,0.0013747464487419514
23,13507719,3451,748,3,0,1725.5,0.001826819404932027
24,13506855,4585,995,4,1,2292.5,0.002427113002495898
25,13505538,6093,1322,6,1,3046.5,0.003225387028180481
26,13503618,8096,1757,8,2,4048.0,0.004285693973436595
27,13500896,10758,2336,11,2,5379.0,0.005694848785354607
28,13497110,14293,3104,15,3,7146.5,0.007566134382698772
29,13491911,18988,4125,20,5,9494.0,0.010051476922877231
30,13484838,25222,5482,27,6,12611.0,0.013351503631178088
31,13475277,33499,7283,36,9,16749.5,0.017733011662074173
32,13462418,44481,9676,48,11,22240.5,0.023546436960527817
33,13445190,59047,12853,64,15,29523.5,0.03125708646856604
34,13422182,78352,17071,85,21,39176.0,0.04147637033185575
35,13391535,103916,22668,113,27,51958.0,0.05500891488928326
36,13350815,137726,30090,150,37,68863.0,0.07290655733516904
37,13296843,182370,39928,199,49,91185.0,0.09653927988335374
38,13225500,241194,52954,264,65,120597.0,0.1276783191982542
39,13131487,318482,70182,350,86,159241.0,0.16859145109288956
40,13008070,419649,92931,464,113,209824.5,0.2221451568995422
41,12846820,551418,122906,614,149,275709.0,0.29189832008948374
42,12637409,721926,162293,811,196,360963.0,0.38215833837292335
43,12367564,940679,213859,1069,257,470339.5,0.4979573025245014
44,12023316,1218197,281051,1405,335,609098.5,0.6448640737844047
45,11589782,1565161,368065,1840,435,782580.5,0.8285327402616101
46,11052728,1990842,479862,2399,558,995421.0,1.0538709932638906
47,10401150,2500616,622065,3110,711,1250308.0,1.3237246691056233
48,9630874,3092646,800681,4003,893,1546323.0,1.6371213345075089
49,8748694,3754258,1021584,5107,1104,1877129.0,1.98735188800965
50,7775811,4459278,1289745,6448,1340,2229639.0,2.3605608758001972
51,6748677,5168151,1608265,8041,1592,2584075.5,2.735809485487934
52,5715468,5832425,1977419,9887,1845,2916212.5,3.087449193801993
53,4727945,6403528,2394021,11970,2083,3201764.0,3.389767954339488
54,3831039,6843186,2851416,14257,2286,3421593.0,3.6225050641434886
55,3054370,7131173,3340215,16701,2443,3565586.5,3.7749536993124715
56,2409092,7267174,3849584,19247,2546,3633587.0,3.8469471116248912
57,1890430,7266825,4368668,21843,2595,3633412.5,3.8467623651826073
58,1483452,7154800,4887727,24438,2595,3577400.0,3.787460874647252
59,1169014,6958226,5398784,26993,2555,3479113.0,3.683402573370779
60,928034,6702226,5895800,29479,2485,3351113.0,3.5478865584004518
61,743769,6407788,6374531,31872,2393,3203894.0,3.392023025526104
62,602580,6091302,6832230,34161,2288,3045651.0,3.224488175862436
63,493843,5764964,7267323,36336,2175,2882482.0,3.0517380770601443
64,409504,5437536,7679106,38395,2058,2718768.0,2.878410976475362
65,343541,5115117,8067502,40337,1941,2557558.5,2.7077354372928704
66,291485,4801818,8432867,42164,1826,2400909.0,2.5418876561436963
67,250023,4500303,8775854,43879,1714,2250151.5,2.382277846558625
68,216693,4212191,9097305,45486,1607,2106095.5,2.229763041460458
69,189656,3938365,9398175,46990,1504,1969182.5,2.0848106652289546
70,167531,3679184,9679487,48397,1406,1839592.0,1.9476107579007345
71,149273,3434649,9942286,49711,1313,1717324.5,1.818163848835231
72,134087,3204508,10187618,50938,1226,1602254.0,1.6963365394552072
73,121360,2988346,10416512,52082,1144,1494173.0,1.5819091455957703
74,110619,2785638,10629965,53149,1067,1392819.0,1.4746037535543444
75,101493,2595794,10828939,54144,994,1297897.0,1.3741080412651772
76,93690,2418186,11014353,55071,927,1209093.0,1.2800895710040447
77,86981,2252172,11187081,55935,863,1126086.0,1.1922084940146547
78,81179,2097107,11347950,56739,804,1048553.5,1.1101233734624132
79,76138,1952357,11497744,57488,748,976178.5,1.033498595466496
80,71736,1817308,11637198,58185,697,908654.0,0.962009133334747
81,67876,1691363,11767005,58835,649,845681.5,0.8953389594853804
82,64477,1573953,11887817,59439,604,786976.5,0.8331868684007473
83,61472,1464534,12000242,60001,562,732267.0,0.7752648885490354
84,58807,1362592,12104852,60524,523,681296.0,0.7213009291814374
85,56435,1267638,12202180,61010,486,633819.0,0.6710361335349826
86,54317,1179213,12292726,61463,452,589606.5,0.6242275256297045
87,52422,1096881,12376955,61884,421,548440.5,0.580644304752607
88,50720,1020236,12455304,62276,391,510118.0,0.540071550973698
89,49188,948895,12528178,62640,364,474447.5,0.5023065196299553
90,47807,882500,12595956,62979,338,441250.0,0.4671597000441941
91,46559,820714,12658992,63294,315,410357.0,0.4344526980873322
92,45429,763224,12717614,63588,293,381612.0,0.4040198242566912
93,44403,709735,12772130,63860,272,354867.5,0.375704917519395
94,43471,659974,12822826,64114,253,329987.0,0.34936346275010416
95,42622,613683,12869967,64349,235,306841.5,0.32485888521498146
96,41849,570623,12913801,64569,219,285311.5,0.3020646680094257
97,41143,530572,12954560,64772,203,265286.0,0.2808632933392047
98,40498,493321,12992458,64962,189,246660.5,0.26114412508272167
99,39907,458675,13027695,65138,176,229337.5,0.24280393815044843
100,39366,426455,13060458,65302,163,213227.5,0.22574797720379242
101,38871,396492,13090919,65454,152,198246.0,0.20988678049849588
102,38415,368627,13119240,65596,141,184313.5,0.19513617988463586
103,37997,342716,13145570,65727,131,171358.0,0.18141994760379154
104,37613,318622,13170050,65850,122,159311.0,0.16866556141357644
105,37259,296219,13192809,65964,113,148109.5,0.1568063220253724
106,36934,275387,13213968,66069,105,137693.5,0.145778706307162
107,36634,256018,13233638,66168,98,128009.0,0.13552554344012974
108,36357,238009,13251925,66259,91,119004.5,0.1259923094026273
109,36102,221265,13268926,66344,85,110632.5,0.11712871504847434
110,35867,205697,13284730,66423,79,102848.5,0.10888764738809131
111,35650,191223,13299423,66497,73,95611.5,0.10122569894793307
112,35449,177766,13313082,66565,68,88883.0,0.09410210905162177
113,35264,165255,13325779,66628,63,82627.5,0.08747929317938051
114,35092,153624,13337583,66687,59,76812.0,0.08132231360859975
115,34934,142810,13348557,66742,54,71405.0,0.07559782069497038
116,34787,132757,13358757,66793,51,66378.5,0.07027617031021766
117,34652,123411,13368240,66841,47,61705.5,0.06532877704493376
118,34526,114723,13377055,66885,44,57361.5,0.060729702286878275
119,34410,106646,13385250,66926,40,53323.0,0.056454066142677756
120,34303,99137,13392867,66964,38,49568.5,0.05247910615669266
121,34204,92156,13399949,66999,35,46078.0,0.04878364795158385
122,34111,85667,13406531,67032,32,42833.5,0.04534863458774615
123,34026,79635,13412650,67063,30,39817.5,0.04215553848500782
124,33947,74027,13418339,67091,28,37013.5,0.03918689078206409
125,33874,68814,13423626,67118,26,34407.0,0.0364273400553441
126,33806,63967,13428542,67142,24,31983.5,0.033861534881277015
127,33743,59462,13433111,67165,22,29731.0,0.03147677063345934
128,33685,55274,13437358,67186,21,27637.0,0.029259813326054148
129,33631,51381,13441306,67206,19,25690.5,0.027199017051524915
130,33581,47762,13444976,67224,18,23881.0,0.02528326526176861
131,33535,44398,13448388,67241,17,22199.0,0.023502500127549154
132,33492,41271,13451559,67257,15,20635.5,0.02184719317906395
133,33453,38364,13454507,67272,14,19182.0,0.020308345305943866
134,33416,35662,13457248,67286,13,17831.0,0.01887801611668674
135,33382,33150,13459795,67298,12,16575.0,0.01754826521979041
136,33350,30815,13462163,67310,11,15407.5,0.01631221094261965
137,33321,28644,13464364,67321,11,14322.0,0.01516297161253926
138,33294,26626,13466410,67332,10,13313.0,0.014094724275780977
139,33269,24751,13468312,67341,9,12375.5,0.013102175338010027
140,33246,23007,13470080,67350,8,11503.5,0.012178972486024673
141,33225,21386,13471723,67358,8,10693.0,0.011320880844357093
142,33205,19880,13473251,67366,7,9940.0,0.010523665537539466
143,33187,18479,13474671,67373,7,9239.5,0.00978203297123701
144,33170,17178,13475991,67379,6,8589.0,0.009093336348282341
145,33154,15967,13477218,67386,6,7983.5,0.008452282074340676
146,33140,14843,13478358,67391,5,7421.5,0.007857282071111584
147,33126,13797,13479419,67397,5,6898.5,0.007303572103693763
148,33114,12825,13480404,67402,4,6412.5,0.006789034734353302
149,33103,11921,13481320,67406,4,5960.5,0.006310493806489335
150,33092,11082,13482172,67410,4,5541.0,0.005866361241801427
151,33083,10301,13482963,67414,3,5150.5,0.005452931524255233
152,33074,9575,13483699,67418,3,4787.5,0.005068616575550321
153,33066,8901,13484383,67421,3,4450.5,0.004711828317386257
154,33058,8273,13485019,67425,3,4136.5,0.004379390593162173
155,33052,7691,13485610,67428,2,3845.5,0.00407130340287807
156,33045,7149,13486159,67430,2,3574.5,0.0037843905899330806
