day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,563495,5,0,0,0,2.5,6.343896809666982e-05
1,563514,6,0,0,0,3.0,7.612676171600379e-05
2,563533,8,0,0,0,4.0,0.00010150234895467172
3,563551,11,1,0,0,5.5,0.00013956572981267362
4,563568,15,2,0,0,7.5,0.00019031690429000946
5,563583,20,3,0,0,10.0,0.00025375587238667927
6,563597,27,4,0,0,13.5,0.00034257042772201703
7,563607,36,6,0,0,18.0,0.0004567605702960227
8,563614,48,9,0,0,24.0,0.0006090140937280303
9,563617,64,12,0,0,32.0,0.0008120187916373738
10,563612,85,17,0,0,42.5,0.001078462457643387
11,563600,113,23,0,0,56.5,0.001433720678984738
12,563576,151,31,0,0,75.5,0.0019158568365194287
13,563537,201,42,0,0,100.5,0.002550246517486127
14,563478,267,56,0,0,133.5,0.003387640896362169
15,563393,354,76,0,0,177.0,0.004491478941244223
16,563273,471,101,0,0,235.5,0.005975950794706297
17,563106,626,135,0,0,313.0,0.007942558805703062
18,562877,831,179,0,0,415.5,0.010543556497666525
19,562566,1104,239,1,0,552.0,0.014007324155744698
20,562147,1466,318,1,0,733.0,0.018600305445943592
21,561583,1947,422,2,0,973.5,0.02470313417684323
22,560828,2584,561,2,0,1292.0,0.03278525871235897
23,559821,3429,746,3,0,1714.5,0.04350644432069616
24,558479,4546,991,4,1,2273.0,0.057678709793492204
25,556698,6024,1316,6,1,3012.0,0.07643126876286781
26,554339,7974,1746,8,2,3987.0,0.10117246632056903
27,551222,10543,2316,11,2,5271.5,0.133767408128638
28,547117,13915,3069,15,3,6957.5,0.17655064821303212
29,541733,18326,4063,20,4,9163.0,0.23251650586791425
30,534706,24064,5372,26,6,12032.0,0.30531906565565253
31,525592,31480,7091,35,8,15740.0,0.3994117431366332
32,513867,40976,9339,46,11,20488.0,0.5198950313458285
33,498939,52996,12266,61,14,26498.0,0.6724023106502228
34,480187,67981,16052,80,18,33990.5,0.8625288980359422
35,457033,86298,20908,104,24,43149.0,1.0949312137612826
36,429052,108131,27072,135,30,54065.5,1.371943811852201
37,396134,133340,34795,173,38,66670.0,1.6917904012019906
38,358652,161311,44320,221,47,80655.5,2.046680676528381
39,317596,190857,55842,279,57,95428.5,2.4215542268052226
40,274578,220253,69475,347,68,110126.5,2.794524608039164
41,231657,247450,85207,426,78,123725.0,3.1395945311041897
42,190973,270467,102882,514,88,135233.5,3.431629476840399
43,154313,287813,122201,611,96,143906.5,3.6517119449613666
44,122791,298783,142759,713,102,149391.5,3.79089704096546
45,96751,303484,164101,820,106,151742.0,3.850542358769949
46,75911,302650,185778,928,108,151325.0,3.8399607388914245
47,59605,297341,207396,1036,108,148670.5,3.7726012425663806
48,47026,288683,228635,1143,106,144341.5,3.662750325410187
49,37390,277699,249255,1246,103,138849.5,3.5233876002954223
50,30021,265234,269091,1345,99,132617.0,3.365234252830425
51,24369,251941,288036,1440,94,125970.5,3.196575412248618
52,20012,238304,306032,1530,89,119152.0,3.023551970661761
53,16627,224667,323054,1615,85,112333.5,2.8505285290749036
54,13976,211271,339102,1695,80,105635.5,2.6805628457503063
55,11880,198277,354192,1770,75,99138.5,2.5156976554606807
56,10208,185786,368355,1841,70,92893.0,2.3572144253615797
57,8862,173862,381625,1908,66,86931.0,2.205925174244642
58,7769,162537,394044,1970,62,81268.5,2.0622359115056845
59,6873,151824,405654,2028,58,75912.0,1.9263115784617597
60,6132,141720,416499,2082,54,70860.0,1.7981141117320094
61,5515,132214,426622,2133,50,66107.0,1.6775039455866207
62,4998,123288,436065,2180,47,61644.0,1.5642526997404458
63,4561,114919,444872,2224,44,57459.5,1.45806855494024
