day,susceptible,infected,recovered,chilam,chilamPerDay,symptomatic,percentOfTotalInfected
0,1375534,5,0,0,0,2.5,3.441582340442564e-05
1,1375586,5,0,0,0,2.5,3.441582340442564e-05
2,1375638,5,0,0,0,2.5,3.441582340442564e-05
3,1375690,5,1,0,0,2.5,3.441582340442564e-05
4,1375742,6,1,0,0,3.0,4.1298988085310766e-05
5,1375794,6,2,0,0,3.0,4.1298988085310766e-05
6,1375846,7,2,0,0,3.5,4.818215276619589e-05
7,1375897,7,2,0,0,3.5,4.818215276619589e-05
8,1375949,7,3,0,0,3.5,4.818215276619589e-05
9,1376001,8,4,0,0,4.0,5.506531744708103e-05
10,1376053,8,4,0,0,4.0,5.506531744708103e-05
11,1376104,9,5,0,0,4.5,6.194848212796616e-05
12,1376156,9,5,0,0,4.5,6.194848212796616e-05
13,1376207,10,6,0,0,5.0,6.883164680885128e-05
14,1376259,11,7,0,0,5.5,7.571481148973641e-05
15,1376310,11,8,0,0,5.5,7.571481148973641e-05
16,1376361,12,9,0,0,6.0,8.259797617062153e-05
17,1376413,13,9,0,0,6.5,8.948114085150667e-05
18,1376464,13,10,0,0,6.5,8.948114085150667e-05
19,1376515,14,11,0,0,7.0,9.636430553239179e-05
20,1376566,15,12,0,0,7.5,0.00010324747021327692
21,1376616,16,14,0,0,8.0,0.00011013063489416206
22,1376667,17,15,0,0,8.5,0.00011701379957504718
23,1376717,18,16,0,0,9.0,0.0001238969642559323
24,1376768,19,17,0,0,9.5,0.00013078012893681743
25,1376818,20,19,0,0,10.0,0.00013766329361770255
26,1376868,21,20,0,0,10.5,0.0001445464582985877
27,1376918,23,22,0,0,11.5,0.00015831278766035794
28,1376968,24,23,0,0,12.0,0.00016519595234124306
29,1377018,26,25,0,0,13.0,0.00017896228170301333
30,1377067,27,27,0,0,13.5,0.00018584544638389845
31,1377116,29,29,0,0,14.5,0.00019961177574566872
32,1377165,30,31,0,0,15.0,0.00020649494042655384
33,1377214,32,33,0,0,16.0,0.0002202612697883241
34,1377263,34,36,0,0,17.0,0.00023402759915009435
35,1377311,36,38,0,0,18.0,0.0002477939285118646
36,1377359,38,41,0,0,19.0,0.00026156025787363486
37,1377407,41,44,0,0,20.5,0.00028220975191629025
38,1377454,43,47,0,0,21.5,0.0002959760812780605
39,1377501,46,50,0,0,23.0,0.0003166255753207159
40,1377548,48,53,0,0,24.0,0.0003303919046824861
41,1377595,51,56,0,0,25.5,0.0003510413987251415
42,1377641,54,60,0,0,27.0,0.0003716908927677969
43,1377686,58,64,0,0,29.0,0.00039922355149133744
44,1377732,61,68,0,0,30.5,0.0004198730455339928
45,1377777,65,73,0,0,32.5,0.00044740570425753337
46,1377821,68,77,0,0,34.0,0.0004680551983001887
47,1377865,72,82,0,0,36.0,0.0004955878570237292
48,1377908,77,87,0,0,38.5,0.0005300036804281549
49,1377951,81,93,0,0,40.5,0.0005575363391516953
50,1377993,86,99,0,0,43.0,0.000591952162556121
51,1378035,91,105,0,0,45.5,0.0006263679859605467
52,1378076,97,111,0,0,48.5,0.0006676669740458575
53,1378116,102,118,0,0,51.0,0.000702082797450283
54,1378155,108,126,0,0,54.0,0.0007433817855355938
55,1378194,115,133,0,0,57.5,0.0007915639383017898
56,1378232,121,142,0,0,60.5,0.0008328629263871005
57,1378269,129,150,0,0,64.5,0.0008879282438341815
58,1378305,136,160,0,0,68.0,0.0009361103966003774
59,1378340,144,169,0,0,72.0,0.0009911757140474585
60,1378374,153,180,0,0,76.5,0.0010531241961754248
61,1378407,162,191,0,0,81.0,0.0011150726783033906
62,1378439,171,202,1,0,85.5,0.0011770211604313569
63,1378469,182,215,1,0,91.0,0.0012527359719210933
64,1378498,192,228,1,0,96.0,0.0013215676187299445
65,1378526,204,241,1,0,102.0,0.001404165594900566
66,1378552,216,256,1,0,108.0,0.0014867635710711876
67,1378577,228,271,1,0,114.0,0.001569361547241809
68,1378600,242,288,1,0,121.0,0.001665725852774201
69,1378621,256,305,1,0,128.0,0.0017620901583065929
70,1378641,271,323,1,0,135.5,0.0018653376285198697
71,1378658,287,343,1,0,143.5,0.0019754682634140317
72,1378674,304,363,1,0,152.0,0.002092482062989079
73,1378687,322,385,1,0,161.0,0.002216379027245011
74,1378698,341,408,2,0,170.5,0.002347159156181829
75,1378706,361,432,2,0,180.5,0.0024848224497995316
76,1378712,382,458,2,0,191.0,0.002629368908098119
77,1378715,405,486,2,0,202.5,0.0027876816957584766
78,1378715,429,515,2,0,214.5,0.0029528776480997197
79,1378712,454,545,2,0,227.0,0.003124956765121848
80,1378706,481,578,2,0,240.5,0.003310802211505747
81,1378696,509,612,3,0,254.5,0.00350353082257053
82,1378682,539,648,3,0,269.5,0.003710025762997084
83,1378665,571,687,3,0,285.5,0.003930287032785408
